case_study,dmn_file,decision_name,io,variable_name,feel_type,predicted_table,predicted_column,confidence,predicted_mapping_type,top3_candidates,notes
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateStoppedSet,boolean,,,0.318,needs review (no confident match),concept.is_set (0.32); field_type.is_set (0.32); orders.date_stopped (0.26),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateStopped,date,orders,date_stopped,0.98,"direct (auto, confident)",orders.date_stopped (0.98); visit.date_stopped (0.98); order_attribute.date_voided (0.52),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,autoExpireDateSet,boolean,,,0.278,needs review (no confident match),orders.auto_expire_date (0.28); concept.is_set (0.27); field_type.is_set (0.27),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,autoExpireDate,date,orders,auto_expire_date,0.97,"direct (auto, confident)",orders.auto_expire_date (0.97); notification_alert.date_to_expire (0.56); order_attribute_type.date_retired (0.43),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,encounterDatetimeSet,boolean,,,0.276,needs review (no confident match),concept.is_set (0.28); field_type.is_set (0.28); encounter.encounter_datetime (0.27),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,encounterDatetime,date,encounter,encounter_datetime,0.987,"direct (auto, confident)",encounter.encounter_datetime (0.99); obs.obs_datetime (0.46); obs.value_datetime (0.44),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,output,violationReasons,string,,,,"not-persisted (output/control-flow, default)",order_attribute.void_reason (0.32); order_group.void_reason (0.32); order_group_attribute.void_reason (0.32),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,output,dateActivatedValid,boolean,,,,"not-persisted (output/control-flow, default)",orders.date_activated (0.26); person.birthdate_estimated (0.24); person.deathdate_estimated (0.24),auto-generated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,violationReasons,,,,0.277,needs review (no confident match),order_attribute.void_reason (0.28); order_group.void_reason (0.28); order_group_attribute.void_reason (0.28),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,input,scheduledDateSet,boolean,,,0.301,needs review (no confident match),concept.is_set (0.30); field_type.is_set (0.30); orders.scheduled_date (0.26),"auto-generated, unreviewed"
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,input,urgency,string,orders,urgency,1.0,"direct (auto, confident)",orders.urgency (1.00); allergy.allergen_type (0.28); order_attribute.value_reference (0.25),auto-generated
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,output,scheduledDateUrgencyValid,boolean,,,,"not-persisted (output/control-flow, default)",orders.scheduled_date (0.20); drug_order.dispense_as_written (0.19); drug_order.as_needed (0.18),auto-generated
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); order_attribute.void_reason (0.49); order_group.void_reason (0.49),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,input,preferredIdentifierCount,number,,,0.441,"likely derived (auto, low confidence -- needs review)",patient_identifier.identifier_type (0.44); patient_identifier.patient_identifier_id (0.40); patient_identifier_type.patient_identifier_type_id (0.38),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,input,identifierCount,number,patient_identifier,identifier_type,0.563,"derived (auto, needs formula review)",patient_identifier.identifier_type (0.56); patient_identifier.patient_identifier_id (0.44); outbox_event.error_count (0.43),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,output,preferredIdentifierValid,boolean,,,,"not-persisted (output/control-flow, default)",patient_identifier.preferred (0.48); person_address.preferred (0.43); person_name.preferred (0.43),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); patient.void_reason (0.49); patient_identifier.void_reason (0.49),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,input,locationSet,boolean,,,0.395,needs review (no confident match),concept.is_set (0.40); field_type.is_set (0.40); drug.combination (0.25),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,input,locationBehavior,string,patient_identifier_type,location_behavior,1.0,"direct (auto, confident)",patient_identifier_type.location_behavior (1.00); patient_identifier_type.uniqueness_behavior (0.54); location.state_province (0.25),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,output,locationRequirementValid,boolean,,,,"not-persisted (output/control-flow, default)",patient_identifier_type.required (0.28); form_field.required (0.23); location.retired (0.22),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); location_attribute.void_reason (0.49); patient.void_reason (0.49),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,uniquenessBehavior,string,patient_identifier_type,uniqueness_behavior,1.0,"direct (auto, confident)",patient_identifier_type.uniqueness_behavior (1.00); patient_identifier_type.location_behavior (0.51); concept_reference_source.unique_id (0.23),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,inUseByAnotherPatient,boolean,,,0.225,needs review (no confident match),notification_alert.satisfied_by_any (0.22); drug_order.dispense_as_written (0.20); concept_map_type.is_hidden (0.18),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,duplicateWithinSamePatient,boolean,,,0.18,"likely derived (auto, low confidence -- needs review)",person.birthdate_estimated (0.18); person.deathdate_estimated (0.18); drug.combination (0.17),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,output,identifierUniquenessValid,boolean,,,,"not-persisted (output/control-flow, default)",patient_identifier.preferred (0.21); patient_identifier.identifier (0.20); patient_identifier_type.retired (0.19),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); patient.void_reason (0.49); patient_identifier.void_reason (0.49),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,identifierBlank,boolean,,,0.272,needs review (no confident match),patient_identifier.identifier (0.27); notification_alert.satisfied_by_any (0.23); provider.identifier (0.22),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,formatSet,boolean,,,0.363,needs review (no confident match),concept.is_set (0.36); field_type.is_set (0.36); patient_identifier_type.format (0.27),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,identifierMatchesFormat,boolean,,,0.21,"likely derived (auto, low confidence -- needs review)",patient_identifier.identifier (0.21); patient_identifier.identifier_type (0.20); person.birthdate_estimated (0.19),"auto-generated, unreviewed"
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,output,identifierFormatValid,boolean,,,,"not-persisted (output/control-flow, default)",patient_identifier.preferred (0.23); patient_identifier.identifier (0.22); patient_identifier_type.retired (0.21),auto-generated
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); patient.void_reason (0.49); patient_identifier.void_reason (0.49),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,birthdate,date,person,birthdate,1.0,"direct (auto, confident)",person.birthdate (1.00); person.birthtime (0.40); person.death_date (0.33),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,evaluationTime,date,,,0.41,needs review (no confident match),scheduler_task_config.last_execution_time (0.41); scheduler_task_config.start_time (0.41); obs.value_datetime (0.32),"auto-generated, unreviewed"
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,yearsSinceBirthdate,number,,,0.225,needs review (no confident match),hl7_in_archive.message_state (0.23); hl7_in_queue.message_state (0.23); person_attribute.person_attribute_id (0.22),"auto-generated, unreviewed"
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,output,birthdateValid,boolean,,,,"not-persisted (output/control-flow, default)",person.birthdate_estimated (0.53); person.birthdate (0.27); person.deathdate_estimated (0.27),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); person.void_reason (0.49); person_address.void_reason (0.49),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,dead,boolean,person,dead,1.0,"direct (auto, confident)",person.dead (1.00); person.voided (0.32); person_address.voided (0.32),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,causeOfDeathSet,boolean,,,0.325,needs review (no confident match),person.cause_of_death (0.32); concept.is_set (0.28); field_type.is_set (0.28),"auto-generated, unreviewed"
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,causeOfDeathNonCodedSet,boolean,,,0.344,needs review (no confident match),person.cause_of_death_non_coded (0.34); person.cause_of_death (0.25); person.deathdate_estimated (0.22),"auto-generated, unreviewed"
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,output,deathRecordValid,boolean,,,,"not-persisted (output/control-flow, default)",person.dead (0.23); person.deathdate_estimated (0.23); person_attribute_type.retired (0.21),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); person.void_reason (0.49); person_address.void_reason (0.49),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,deathDateSet,boolean,,,0.369,needs review (no confident match),person.deathdate_estimated (0.37); person.death_date (0.31); concept.is_set (0.29),"auto-generated, unreviewed"
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,deathDate,date,person,death_date,1.0,"direct (auto, confident)",person.death_date (1.00); person_address.start_date (0.52); person_address.end_date (0.50),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,evaluationTime,date,,,0.41,needs review (no confident match),scheduler_task_config.last_execution_time (0.41); scheduler_task_config.start_time (0.41); obs.value_datetime (0.32),"auto-generated, unreviewed"
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,birthdate,date,person,birthdate,1.0,"direct (auto, confident)",person.birthdate (1.00); person.birthtime (0.40); person.death_date (0.33),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,output,violationReasons,string,,,,"not-persisted (output/control-flow, default)",person.void_reason (0.32); person_address.void_reason (0.32); person_attribute.void_reason (0.32),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency,output,deathDateValid,boolean,,,,"not-persisted (output/control-flow, default)",person.deathdate_estimated (0.35); person.death_date (0.30); person.birthdate_estimated (0.27),auto-generated
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency,input,violationReasons,,,,0.277,needs review (no confident match),person.void_reason (0.28); person_address.void_reason (0.28); person_attribute.void_reason (0.28),"auto-generated, unreviewed"
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateEnrolled,date,patient_program,date_enrolled,1.0,"direct (auto, confident)",patient_program.date_enrolled (1.00); program.date_retired (0.53); program_attribute_type.date_retired (0.53),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,evaluationTime,date,,,0.41,needs review (no confident match),scheduler_task_config.last_execution_time (0.41); scheduler_task_config.start_time (0.41); obs.value_datetime (0.32),"auto-generated, unreviewed"
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateCompletedSet,boolean,,,0.315,needs review (no confident match),patient_program.date_completed (0.31); concept.is_set (0.26); field_type.is_set (0.26),"auto-generated, unreviewed"
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateCompleted,date,patient_program,date_completed,1.0,"direct (auto, confident)",patient_program.date_completed (1.00); patient_program.date_created (0.56); patient_program_attribute.date_created (0.56),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,output,violationReasons,string,,,,"not-persisted (output/control-flow, default)",patient_program.void_reason (0.32); patient_program_attribute.void_reason (0.32); program.retire_reason (0.30),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency,output,enrollmentDatesValid,boolean,,,,"not-persisted (output/control-flow, default)",person.birthdate_estimated (0.21); person.deathdate_estimated (0.21); program.retired (0.18),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency,input,violationReasons,,,,0.277,needs review (no confident match),patient_program.void_reason (0.28); patient_program_attribute.void_reason (0.28); program.retire_reason (0.26),"auto-generated, unreviewed"
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,startDateSet,boolean,,,0.338,needs review (no confident match),concept.is_set (0.34); field_type.is_set (0.34); scheduler_task_config.start_on_startup (0.34),"auto-generated, unreviewed"
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,endDateSet,boolean,,,0.306,needs review (no confident match),concept.is_set (0.31); field_type.is_set (0.31); patient_state.end_date (0.30),"auto-generated, unreviewed"
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,startDate,date,patient_state,start_date,1.0,"direct (auto, confident)",patient_state.start_date (1.00); cohort_member.start_date (0.98); person_address.start_date (0.98),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,endDate,date,patient_state,end_date,1.0,"direct (auto, confident)",patient_state.end_date (1.00); cohort_member.end_date (0.97); conditions.end_date (0.97),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,output,patientStateDatesValid,boolean,,,,"not-persisted (output/control-flow, default)",patient_state.patient_state_id (0.24); person.birthdate_estimated (0.20); person.deathdate_estimated (0.20),auto-generated
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,output,reasonCode,string,,,,"not-persisted (output/control-flow, default)",concept_reference_term.code (0.53); patient.void_reason (0.49); patient_identifier.void_reason (0.49),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,startDateSet,boolean,,,0.338,needs review (no confident match),concept.is_set (0.34); field_type.is_set (0.34); scheduler_task_config.start_on_startup (0.34),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,endDateSet,boolean,,,0.306,needs review (no confident match),concept.is_set (0.31); field_type.is_set (0.31); relationship.end_date (0.30),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,startDate,date,relationship,start_date,1.0,"direct (auto, confident)",relationship.start_date (1.00); cohort_member.start_date (0.98); patient_state.start_date (0.98),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,evaluationTime,date,,,0.41,needs review (no confident match),scheduler_task_config.last_execution_time (0.41); scheduler_task_config.start_time (0.41); obs.value_datetime (0.32),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,endDate,date,relationship,end_date,1.0,"direct (auto, confident)",relationship.end_date (1.00); cohort_member.end_date (0.97); conditions.end_date (0.97),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,output,violationReasons,string,,,,"not-persisted (output/control-flow, default)",encounter.void_reason (0.32); encounter_diagnosis.void_reason (0.32); encounter_provider.void_reason (0.32),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity,output,relationshipDatesValid,boolean,,,,"not-persisted (output/control-flow, default)",person.deathdate_estimated (0.24); relationship.relationship (0.23); person.birthdate_estimated (0.22),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity,input,violationReasons,,,,0.277,needs review (no confident match),encounter.void_reason (0.28); encounter_diagnosis.void_reason (0.28); encounter_provider.void_reason (0.28),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitPatientId,string,,,0.333,needs review (no confident match),users.system_id (0.33); encounter.patient_id (0.30); encounter_diagnosis.patient_id (0.30),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,encounterPatientId,string,,,0.324,needs review (no confident match),encounter.encounter_id (0.32); concept_reference_source.unique_id (0.30); encounter_diagnosis.encounter_id (0.29),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,encounterDatetime,date,encounter,encounter_datetime,1.0,"direct (auto, confident)",encounter.encounter_datetime (1.00); obs.obs_datetime (0.46); obs.value_datetime (0.44),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,evaluationTime,date,,,0.41,needs review (no confident match),scheduler_task_config.last_execution_time (0.41); scheduler_task_config.start_time (0.41); obs.value_datetime (0.32),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitSet,boolean,concept,is_set,0.505,"direct (auto, confident)",concept.is_set (0.50); field_type.is_set (0.50); encounter.voided (0.24),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitStartDatetime,date,relationship,start_date,0.477,"direct (auto, confident)",relationship.start_date (0.48); encounter.encounter_datetime (0.44); cohort_member.start_date (0.43),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitStopDatetime,date,,,0.419,needs review (no confident match),encounter.encounter_datetime (0.42); obs.obs_datetime (0.42); obs.value_datetime (0.40),"auto-generated, unreviewed"
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,output,violationReasons,string,,,,"not-persisted (output/control-flow, default)",encounter.void_reason (0.32); encounter_diagnosis.void_reason (0.32); encounter_provider.void_reason (0.32),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity,output,encounterDatetimeValid,boolean,,,,"not-persisted (output/control-flow, default)",encounter.encounter_datetime (0.31); person.deathdate_estimated (0.24); encounter_role.retired (0.24),auto-generated
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity,input,violationReasons,,,,0.277,needs review (no confident match),encounter.void_reason (0.28); encounter_diagnosis.void_reason (0.28); encounter_provider.void_reason (0.28),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,Customer Group Match Count,input,customerGroupIds,,spree_customer_group_users,customer_group_id,0.631,"direct (auto, confident)",spree_customer_group_users.customer_group_id (0.63); spree_payment_sessions.customer_id (0.40); spree_payment_setup_sessions.customer_id (0.40),auto-generated
Spree,Customer_Segment_Eligibility.dmn,Customer Group Match Count,input,promotionTargetGroupIds,,,,0.334,needs review (no confident match),spree_order_promotions.promotion_id (0.33); spree_promotion_actions.promotion_id (0.33); spree_promotion_rules.promotion_id (0.33),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,customerIdPresent,boolean,,,0.363,needs review (no confident match),spree_order_cancellations.notify_customer (0.36); spree_payment_sessions.customer_id (0.24); spree_payment_setup_sessions.customer_id (0.24),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,promotionTargetGroupsConfigured,boolean,,,0.225,needs review (no confident match),spree_products.promotionable (0.23); spree_countries.states_required (0.18); spree_promotion_action_line_items.promotion_action_id (0.17),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,matchingCustomerGroupCount,number,spree_customer_group_users,customer_group_id,0.542,"derived (auto, needs formula review)",spree_customer_group_users.customer_group_id (0.54); spree_imports.completed_groups_count (0.35); spree_imports.processing_groups_count (0.35),auto-generated
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,output,customerGroupEligible,boolean,,,,"not-persisted (output/control-flow, default)",spree_adjustments.eligible (0.43); spree_order_cancellations.notify_customer (0.34); spree_customer_group_users.customer_group_id (0.26),auto-generated
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,currentOrder,,,,0.399,needs review (no confident match),spree_collections.sort_order (0.40); spree_categories.sort_order (0.40); spree_product_type_custom_field_definitions.sort_order (0.40),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,customer,,spree_order_groups,customer_id,0.606,"direct (auto, confident)",spree_order_groups.customer_id (0.61); spree_payment_sessions.customer_id (0.56); spree_payment_setup_sessions.customer_id (0.56),auto-generated
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,email,,spree_order_groups,email,0.9,"direct (auto, confident)",spree_order_groups.email (0.90); spree_orders.email (0.85); spree_users.email (0.85),auto-generated
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,store,,spree_customer_returns,store_id,0.578,"direct (auto, confident)",spree_customer_returns.store_id (0.58); spree_customer_groups.store_id (0.58); spree_order_routing_rules.store_id (0.58),auto-generated
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,input,userOrEmailPresent,boolean,,,0.289,needs review (no confident match),spree_customers.accepts_email_marketing (0.29); spree_order_cancellations.refund_payments (0.21); spree_companies.po_number_required (0.20),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,input,priorCompletedOrderCount,number,spree_imports,completed_groups_count,0.513,"derived (auto, needs formula review)",spree_imports.completed_groups_count (0.51); spree_suppliers.purchase_orders_count (0.37); spree_collections.products_count (0.35),auto-generated
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,output,firstOrderEligible,boolean,,,,"not-persisted (output/control-flow, default)",spree_adjustments.eligible (0.46); spree_delivery_methods.storefront_visible (0.28); spree_variants.preorderable (0.27),auto-generated
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,input,customerPresent,boolean,,,0.423,needs review (no confident match),spree_order_cancellations.notify_customer (0.42); spree_price_lists.adjust_compare_at (0.25); spree_payment_methods.auto_capture (0.20),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,input,priorPromotionUsageCount,number,,,0.414,"likely derived (auto, low confidence -- needs review)",spree_promotion_action_line_items.promotion_action_id (0.41); spree_promotion_actions.promotion_id (0.39); spree_promotion_rules.promotion_id (0.39),"auto-generated, unreviewed"
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,output,oneUsePerUserEligible,boolean,,,,"not-persisted (output/control-flow, default)",spree_adjustments.eligible (0.36); spree_companies.po_number_required (0.21); spree_return_items.resellable (0.20),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Minimum Amount Threshold,input,amountMin,,spree_commission_rate_values,min_amount,0.709,"direct (auto, confident)",spree_commission_rate_values.min_amount (0.71); spree_catalog_order_minimums.amount (0.59); spree_adjustments.amount (0.54),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Minimum Amount Threshold,input,operatorMin,,,,0.265,needs review (no confident match),spree_commission_rate_values.min_amount (0.27); spree_prices.min_quantity (0.26); spree_price_adjustment_tiers.min_quantity (0.26),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Maximum Amount Threshold,input,amountMax,,spree_commission_rate_values,max_amount,0.709,"direct (auto, confident)",spree_commission_rate_values.max_amount (0.71); spree_catalog_order_minimums.amount (0.59); spree_adjustments.amount (0.54),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Maximum Amount Threshold,input,operatorMax,,,,0.265,needs review (no confident match),spree_commission_rate_values.max_amount (0.27); spree_package_types.max_weight (0.27); spree_order_groups.metadata (0.21),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Item Total Eligibility,input,itemTotal,number,spree_orders,item_total,0.976,"derived (auto, needs formula review)",spree_orders.item_total (0.98); spree_carts.item_total (0.98); spree_orders.total (0.60),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Item Total Eligibility,input,amountMaxSet,boolean,,,0.219,needs review (no confident match),spree_catalog_order_minimums.amount (0.22); spree_collections.automatic (0.21); spree_categories.automatic (0.21),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Item Total Eligibility,output,itemTotalEligible,boolean,,,,"not-persisted (output/control-flow, default)",spree_adjustments.eligible (0.47); spree_option_types.filterable (0.23); spree_orders.item_total (0.23),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,evaluationTime,date and time,,,0.208,needs review (no confident match),spree_products.available_on (0.21); spree_tax_identifiers.validated_at (0.21); spree_order_promotions.created_at (0.20),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,startsAt,date and time,spree_promotions,starts_at,0.974,"direct (auto, confident)",spree_promotions.starts_at (0.97); spree_price_lists.starts_at (0.97); spree_tax_exemption_certificates.issued_at (0.40),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,expiresAtSet,boolean,,,0.265,needs review (no confident match),spree_price_lists.adjust_compare_at (0.27); spree_promotions.expires_at (0.26); spree_invitations.expires_at (0.26),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,expiresAt,date and time,spree_promotions,expires_at,0.976,"direct (auto, confident)",spree_promotions.expires_at (0.98); spree_invitations.expires_at (0.98); spree_gift_card_batches.expires_at (0.98),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,output,availabilityStatus,string,,,,"not-persisted (output/control-flow, default)",spree_order_approvals.status (0.55); spree_orders.status (0.50); spree_products.status (0.50),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,input,usageLimitSet,boolean,,,0.26,needs review (no confident match),spree_promotions.usage_limit (0.26); spree_adjustments.eligible (0.21); spree_delivery_rates.selected (0.21),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,input,usageLimit,number,spree_promotions,usage_limit,0.979,"direct (auto, confident)",spree_promotions.usage_limit (0.98); spree_variants.backorder_limit (0.44); spree_promotion_rule_users.user_id (0.26),auto-generated
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,input,adjustedCreditsCount,number,,,0.402,"likely derived (auto, low confidence -- needs review)",spree_collections.products_count (0.40); spree_categories.products_count (0.40); spree_product_types.products_count (0.40),"auto-generated, unreviewed"
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,output,usageLimitExceeded,boolean,,,,"not-persisted (output/control-flow, default)",spree_promotions.usage_limit (0.24); spree_delivery_rates.selected (0.21); spree_countries.states_required (0.19),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Promotion Tiered Percent Discount Selection,input,orderAmount,number,spree_adjustments,amount,0.593,"direct (auto, confident)",spree_adjustments.amount (0.59); spree_payment_capture_events.amount (0.59); spree_payments.amount (0.59),auto-generated
