case_study,dmn_file,decision_name,io,variable_name,feel_type,literal_values,label
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,newActiveUntil,date,,New Active-Until
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,oldActiveUntil,date,,Old Active-Until
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,newQuantity,number,,New Quantity
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,oldQuantity,number,,Old Quantity
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,output,processCancellationFee,boolean,,Process Cancellation Fee
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,candidateDateProvided,boolean,,Candidate Date Provided
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,nextBillableDayProvided,boolean,,Next Billable Day Provided
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,candidateDate,date,,Candidate Date
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,nextBillableDay,date,,Next Billable Day
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,output,periodAlreadyInvoiced,boolean,,Period Already Invoiced
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,parseOrAccessError,boolean,,Reflection/Parse Error Occurred
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,startDateProvided,boolean,,Start Date Provided
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,endDateProvided,boolean,,End Date Provided
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,startDate,date,,Start Date
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,endDate,date,,End Date
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,output,dateRangeValid,boolean,,Date Range Valid
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,input,processorUnavailable,boolean,,Processor Unavailable After All Tasks Tried
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,input,paymentResultId,number,,"Last Task Payment Result Id (1=OK,2=FAIL,3=UNAVAILABLE,4=ENTERED)"
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,output,resultCode,number,,Resolved Result Code
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,input,resultCode,number,,Resolved Result Code
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,input,paymentAmount,number,,Payment Amount
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,output,balance,number,,Balance
jBilling,Payment_Authorization_and_Blacklist.dmn,Blacklist Filter Enabled,input,blacklistPluginId,number,,Blacklist Plug-in Id (entity preference PREFERENCE_USE_BLACKLIST=43)
jBilling,Payment_Authorization_and_Blacklist.dmn,Blacklist Filter Enabled,output,blacklistEnabled,boolean,,Blacklist Filtering Enabled
jBilling,Proration_and_Tax.dmn,Cycle Start Source,input,hasNextBillableDay,boolean,,Order Has Next Billable Day Set
jBilling,Proration_and_Tax.dmn,Cycle Start Source,input,hasCycleStarts,boolean,,Order Has Cycle Starts Date Set
jBilling,Proration_and_Tax.dmn,Cycle Start Source,output,cycleStartDateSource,string,,Resolved Cycle Start Date Source
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,input,daysInCycle,number,,Days In Cycle
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,input,daysInPeriod,number,,Days In Period
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,input,fullPrice,number,,Full Price
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,output,proratedAmount,number,,Prorated Amount
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,input,customContactFieldConfigured,boolean,,Customer-Exemption Custom Field Configured
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,input,primaryContactFound,boolean,,Customer Has Primary Contact
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,input,matchingFieldValue,string,EXEMPT_VALUE;OTHER,Matching Contact Field Value
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,output,taxCalculationNeeded,boolean,,Tax Calculation Needed
jBilling,Proration_and_Tax.dmn,Tax Calculation Mode,input,taxItemHasPercentage,boolean,,Tax Item Has Percentage Set
jBilling,Proration_and_Tax.dmn,Tax Calculation Mode,output,taxCalculationMode,string,,Tax Calculation Mode
