case_study,decision_name,variable_name,io,category,mapping_type_raw,notes
Spree,First-Order Promotion Eligibility,priorCompletedOrderCount,input,Compound / Unclassified Derivation,derived,substituted from Prior Completed Order Count per DRD edge
Spree,First-Order Promotion Eligibility,firstOrderEligible,input,Not-Persisted,not_persisted,runtime boolean
Spree,One-Use-Per-User Promotion Eligibility,customerPresent,input,Single-Column Predicate,derived,existence check (IS NOT NULL)
Spree,One-Use-Per-User Promotion Eligibility,priorPromotionUsageCount,input,Direct Attribute Reference,derived,"COUNT of prior spree_discounts rows for this promotion attributable to this customer's completed orders, per used_by?()"
Spree,One-Use-Per-User Promotion Eligibility,oneUsePerUserEligible,input,Not-Persisted,not_persisted,runtime boolean
Spree,Promotion Tiered Percent Discount Selection,orderAmount,input,Direct Attribute Reference,derived,the object.amount the calculator is invoked against; exact object varies by promotion action type
Spree,Promotion Tiered Percent Discount Selection,basePercent,input,Schema Gap,schema_gap,Calculator preferences (base_percent/tiers hash) live in the polymorphic spree_calculators table's own preferences blob
Spree,Promotion Tiered Percent Discount Selection,discountPercent,input,Direct Attribute Reference,derived,write-back target once the computed discount is materialized as a spree_discounts row
Spree,Price List Volume Adjustment Tier Selection,purchaseQuantity,input,Not-Persisted,not_persisted,scenario parameter (the quantity being priced)
Spree,Price List Volume Adjustment Tier Selection,adjustmentPercentage,input,Direct Attribute Reference,direct,genuine dedicated column -- a rare direct hit in this case study
Spree,Price List Volume Adjustment Tier Selection,priceListBasePercentage,input,Direct Attribute Reference,direct,fallback base rate when no tier band matches
Spree,Price Adjustment Tier Validity Violations,minQuantity,input,Direct Attribute Reference,direct,genuine dedicated column
Spree,Price Adjustment Tier Validity Violations,percentage,input,Direct Attribute Reference,direct,genuine dedicated column
Spree,Price Adjustment Tier Validity Violations,siblingTierCount,input,Aggregate Function,derived,count of other tiers on the same price list; cap is a fixed source constant (10)
Spree,Price Adjustment Tier Validity Violations,invalidReason,input,Not-Persisted,not_persisted,"COLLECT hit policy (redesigned 2026-09-10): each matching row contributes one reason to a list, so multiple simultaneous violations (e.g. minQuantity<=1 AND percentage=0 at once) are all reported, matching real ActiveRecord validation behavior which accumulates all errors rather than stopping at the first"
Spree,Price Adjustment Tier Validity,tierValid,input,Not-Persisted,not_persisted,"redesigned 2026-09-10: now a separate literal-expression decision (count(invalidReasons) = 0) downstream of the COLLECT violations table, rather than a column on the same table"
jBilling,Is Ageing Required,expiryDate,input,Code-External (no schema representation),derived,"base_user.last_status_change (fallback base_user.create_datetime, both real columns) plus ageing_entity_step.days, added as calendar days (BasicAgeingTask) or business days via BusinessDays (BusinessDayAgeingTask); no single column holds this computed date."
jBilling,Is Ageing Required,ageingRequired,output,Not-Persisted,not_persisted,Transient boolean computed per review pass; not written back to ageing_entity_step or base_user.
jBilling,Invoice Overdue Check,dueDatePlusGrace,input,Direct Attribute Reference,derived,"invoice.due_date plus the entity process.grace_period preference (a system preference row, not a column)."
jBilling,Invoice Overdue Check,invoiceOverdue,output,Not-Persisted,not_persisted,Transient result used only to decide whether to advance ageing in the excluded set-level review loop.
jBilling,Ageing Step Advancement,currentStatusIsActive,input,Direct Attribute Reference,derived,base_user.status_id compared against the hardcoded constant UserDTOEx.STATUS_ACTIVE=1; no boolean column exists.
jBilling,Ageing Step Advancement,ageingStepConfigFound,input,Existence / Correlated Subquery,derived,"True iff an ageing_entity_step row exists for (entity_id, status_id); existence check, boolean by deliberate exception."
jBilling,Ageing Step Advancement,ageingRequired,input,Not-Persisted,not_persisted,Consumed directly from Is Ageing Required's output -- this is the DRD chain edge.
jBilling,Ageing Step Advancement,advanceToNextStep,output,Not-Persisted,not_persisted,Drives a subsequent write to base_user.status_id and base_user.last_status_change; the flag itself is never stored.
jBilling,Ageing Step Advancement,advancementReason,output,Not-Persisted,not_persisted,Synthetic label for DMN readability; the Java code has no reason-code variable or column of its own.
jBilling,Ageing Status Change Order Action,newStatusIsDeleted,input,Direct Attribute Reference,derived,generic_status.id (the new UserStatusDTO row) compared against the hardcoded constant UserDTOEx.STATUS_DELETED=8.
jBilling,Ageing Status Change Order Action,oldStatusCanLogin,input,Direct Attribute Reference,direct,Read off the entity's PREVIOUS status row; generic_status.can_login is a real smallint column (dtype='user_status').
jBilling,Ageing Status Change Order Action,newStatusCanLogin,input,Direct Attribute Reference,direct,"Same column, read off the NEW status row being transitioned to."
jBilling,Ageing Status Change Order Action,orderAction,output,Not-Persisted,not_persisted,"Drives order_line status writes (ORDER_STATUS_SUSPENDED_AGEING / ORDER_STATUS_ACTIVE) and/or user deletion; the action label itself is implicit in which if-block ran, not a stored value."
jBilling,Ageing Step Config Validation,statusIsActive,input,Direct Attribute Reference,derived,"Loop index over the STATUS_ACTIVE..STATUS_DELETED range, itself keyed off generic_status.id, compared to the STATUS_ACTIVE constant."
jBilling,Ageing Step Config Validation,statusIsDeleted,input,Direct Attribute Reference,derived,Same loop index compared to the STATUS_DELETED constant.
jBilling,Ageing Step Config Validation,isLastSelectedStep,input,Code-External (no schema representation),derived,Computed as the highest array index with inUse=true across the submitted admin-screen steps array; not a stored flag.
jBilling,Ageing Step Config Validation,inUse,input,Existence / Correlated Subquery,derived,"A UI-only transient boolean; on load, set true iff a matching ageing_entity_step row exists -- there is no in_use column on the table itself. Force-overridden to true for the ACTIVE row before this gate is evaluated."
jBilling,Ageing Step Config Validation,welcomeMessagePresent,input,Compound / Unclassified Derivation,derived,"Reads from a generic i18n description mechanism keyed by ""welcome_message"", not a direct column on ageing_entity_step."
jBilling,Ageing Step Config Validation,days,input,Direct Attribute Reference,direct,ageing_entity_step.days is a real NOT NULL integer column.
jBilling,Ageing Step Config Validation,validationResult,output,Not-Persisted,not_persisted,Validation is either a thrown exception (with an error-message code) or a silent pass; there is no stored validation-result column -- this is a synthetic aggregation of which exception (if any) is thrown.
jBilling,Payment Outcome Resolution,processorUnavailable,input,Not-Persisted,not_persisted,Transient loop flag in PaymentBL.processPayment; never written to any table column.
jBilling,Payment Outcome Resolution,paymentResultId,input,Direct Attribute Reference,derived,"Read from the last pluggable payment task attempt, before any persistence step visible in this file."
jBilling,Payment Outcome Resolution,resultCode,output,Schema Gap,schema_gap,"This decision computes the authoritative outcome, but PaymentBL.java never shows it being saved back onto the payment entity created earlier (create(info) runs before the pluggable-task loop) -- the save-back path, if any, is outside this file."
jBilling,Payment Balance Assignment,resultCode,input,Direct Attribute Reference,derived,Consumed as-is from Payment Outcome Resolution's output (requires chain).
jBilling,Payment Balance Assignment,paymentAmount,input,Direct Attribute Reference,direct,"payment.amount is a NOT NULL numeric(22,10) column."
jBilling,Payment Balance Assignment,balance,output,Decision Output / Write-Back Target,direct,"Written directly onto the payment.balance numeric(22,10) column."
jBilling,Blacklist Filter Enabled,blacklistPluginId,input,Direct Attribute Reference,derived,"Reads the generic preference(type_id, table_id, foreign_id, value) table (type_id=PREFERENCE_USE_BLACKLIST=43), not a dedicated blacklist-config column."
jBilling,Blacklist Filter Enabled,blacklistEnabled,output,Not-Persisted,not_persisted,Returned directly to callers (payment processing / filter instantiation); never stored anywhere.
jBilling,Cancellation Fee Eligibility,eventType,input,Code-External (no schema representation),derived,Discriminated from which Java event subclass fired (NewActiveUntilEvent vs NewQuantityEvent); not a stored column.
jBilling,Cancellation Fee Eligibility,newActiveUntilProvided,input,Single-Column Predicate,derived,"Null-check on the event's new active-until value, sourced from purchase_order.active_until."
jBilling,Cancellation Fee Eligibility,oldActiveUntilProvided,input,Single-Column Predicate,derived,"Null-check on the event's prior active-until value (same column, earlier snapshot)."
jBilling,Cancellation Fee Eligibility,processCancellationFee,output,Not-Persisted,not_persisted,"Gates whether a fee-order-generation routine runs; the decision result itself is not stored, only its side effect (a new one-time fee order row) is."
jBilling,Order Period Already Invoiced,candidateDateProvided,input,Not-Persisted,not_persisted,"Null-check on a transient Date parameter (either ""now"", or a proposed new purchase_order.active_until)."
jBilling,Order Period Already Invoiced,nextBillableDayProvided,input,Single-Column Predicate,derived,Null-check on purchase_order.next_billable_day (nullable date column).
jBilling,Order Period Already Invoiced,periodAlreadyInvoiced,output,Not-Persisted,not_persisted,Gates whether a period-cancelled event fires and whether a refund order is generated; never itself persisted.
jBilling,Order Date Range Valid,parseOrAccessError,input,Not-Persisted,not_persisted,"Boolean by deliberate exception: collapses several reflection/parsing exception types into one technical failure flag, not a business comparison."
jBilling,Order Date Range Valid,startDateProvided,input,Not-Persisted,not_persisted,Generic @DateRange bean-validation annotation resolves the field name per use-site via reflection; no single fixed schema column applies.
jBilling,Order Date Range Valid,endDateProvided,input,Not-Persisted,not_persisted,"Same as startDateProvided -- annotation-parameterized field name, not a fixed column."
jBilling,Order Date Range Valid,dateRangeValid,output,Not-Persisted,not_persisted,"Bean-validation pass/fail result, never stored -- only used to accept or reject the incoming request."
jBilling,Cycle Start Source,hasNextBillableDay,input,Single-Column Predicate,derived,Boolean derived from next_billable_day IS NOT NULL.
jBilling,Cycle Start Source,hasCycleStarts,input,Single-Column Predicate,derived,Boolean derived from cycle_start IS NOT NULL. Getter name is plural (getCycleStarts()) vs. singular column name.
jBilling,Cycle Start Source,cycleStartDateSource,output,Not-Persisted,not_persisted,"A string label naming which real column/parameter supplies the winning date, not itself a stored value."
jBilling,Daily Pro-Rate Amount,daysInCycle,input,Code-External (no schema representation),derived,Computed at runtime from order_period.value/unit_id via PeriodOfTime; never stored as its own column.
jBilling,Daily Pro-Rate Amount,daysInPeriod,input,Code-External (no schema representation),derived,"Computed the same way as daysInCycle, for the actual (possibly partial) billed date range."
jBilling,Daily Pro-Rate Amount,fullPrice,input,Direct Attribute Reference,derived,"Traces back to the item's full-period price, passed down through the composition-task pipeline rather than read directly from the column in this decision."
jBilling,Daily Pro-Rate Amount,proratedAmount,output,Decision Output / Write-Back Target,derived,"The returned value is what an invoice/order line eventually persists as order_line.amount, via construction code outside this decision."
jBilling,Tax Calculation Needed,customContactFieldConfigured,input,Not-Persisted,not_persisted,"A pluggable_task_parameter configuration value, not a row in a business table."
jBilling,Tax Calculation Needed,primaryContactFound,input,Existence / Correlated Subquery,derived,Boolean derived from whether a primary contact row exists for the customer.
jBilling,Tax Calculation Needed,matchingFieldValue,input,Direct Attribute Reference,direct,"contact_field.content, tested case-insensitively against ""yes""/""true""."
jBilling,Tax Calculation Needed,taxCalculationNeeded,output,Not-Persisted,not_persisted,Runtime gate for whether a tax invoice line is added; no column records this decision's outcome.
jBilling,Tax Calculation Mode,taxItemHasPercentage,input,Single-Column Predicate,derived,Boolean derived from item.percentage IS NOT NULL for the configured tax item.
jBilling,Tax Calculation Mode,taxCalculationMode,output,Schema Gap,schema_gap,No explicit tax-type/discriminator column exists on item; PERCENTAGE vs. FLAT is entirely implied by the nullability of the single percentage column.
jBilling,Currency Exchange Rate Source,hasEntitySpecificExchange,input,Existence / Correlated Subquery,derived,Boolean derived from existence of a currency_exchange row keyed by the real entity_id and currency_id.
jBilling,Currency Exchange Rate Source,hasSystemDefaultExchange,input,Existence / Correlated Subquery,derived,Boolean derived from existence of a currency_exchange row keyed by the undocumented sentinel entity_id=0; nothing in the schema marks entity_id=0 as special.
jBilling,Currency Exchange Rate Source,exchangeRateSource,output,Not-Persisted,not_persisted,"Which row wins is decided at read time; the winning currency_exchange.rate value is a direct column read, but which source won is never itself recorded."
jBilling,Cancellation Fee Eligibility,newActiveUntil,input,Direct Attribute Reference,derived,"exposed directly (event’s new value), replacing newActiveUntilBeforeOld (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
jBilling,Cancellation Fee Eligibility,oldActiveUntil,input,Direct Attribute Reference,derived,"exposed directly (event’s prior value, same column) for the cross-variable comparison"
jBilling,Cancellation Fee Eligibility,newQuantity,input,Direct Attribute Reference,derived,"exposed directly, replacing quantityDecreased (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
jBilling,Cancellation Fee Eligibility,oldQuantity,input,Direct Attribute Reference,derived,"exposed directly (prior value, same column) for the cross-variable comparison"
jBilling,Order Period Already Invoiced,candidateDate,input,Not-Persisted,not_persisted,"exposed directly (transient parameter -- ""now"" or a proposed active_until), replacing candidateDateBeforeNextBillableDay (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
jBilling,Order Period Already Invoiced,nextBillableDay,input,Direct Attribute Reference,direct,exposed directly for the cross-variable comparison
jBilling,Order Date Range Valid,startDate,input,Not-Persisted,not_persisted,"exposed directly, replacing startBeforeEnd; still not a fixed column since @DateRange(start=,end=) names whichever two DTO fields apply per use-site (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
jBilling,Order Date Range Valid,endDate,input,Not-Persisted,not_persisted,exposed directly for the cross-variable comparison; same per-use-site caveat as startDate
